Falsifiable	The data shows a +12.3 z deflection.
Falsifiable	The corpus deflects +21.7 dBc above the curveball vacuum.
Undecidable	Curveball trades preserve every row and column sum.
Falsifiable	The real corpus V2 equals 0.7235293731 to nine decimal places.
Falsifiable	The lens effect is real but seed-fragile at the small optimizer budget.
Falsifiable	Uniform is the unique stationary law on an irreducible fibre.
Falsifiable	The gate passes above the detectability floor.
Falsifiable	Either a statistic deflects against its matched null or it is not admitted.
Tautology	Either it is raining or it is not raining.
Tautology	A bachelor is an unmarried man.
Paradox	This statement is false.
Undecidable	Consider the universe of all sets.
